Occurrence_Date,Occurrence_Time,Accident_Location,Weather,Road_Type_Main,Road_Type_Sub,Accident_Location_Type_Main,Accident_Location_Type_Sub,Cause_Judgment_Main,Cause_Judgment_Sub,Longitude,Latitude
20240901.0,61700.0,臺南市安南區本原街1段250巷200號北側,晴,單路部分,直路,路段,路肩、路緣,駕駛者,患病或服用藥物(疲勞)駕駛,120.199449,23.057422
20240901.0,61700.0,臺南市安南區本原街1段250巷200號北側,晴,單路部分,直路,路段,路肩、路緣,駕駛者,患病或服用藥物(疲勞)駕駛,120.199449,23.057422
20240901.0,70923.0,宜蘭縣羅東鎮大同地下道前0.0公尺東側,晴,單路部分,地下道,路段,慢車道,其他,其他不當駕車行為,121.774619,24.680609
20240901.0,70923.0,宜蘭縣羅東鎮大同地下道前0.0公尺東側,晴,單路部分,地下道,路段,慢車道,其他,其他不當駕車行為,121.774619,24.680609
20240901.0,85802.0,南投縣名間鄉蓮蕉巷10號,晴,單路部分,彎曲路及附近,路段,一般車道(未劃分快慢車道),駕駛者,危險駕駛,120.679465,23.873369
20240901.0,85802.0,南投縣名間鄉蓮蕉巷10號,晴,單路部分,彎曲路及附近,路段,一般車道(未劃分快慢車道),駕駛者,危險駕駛,120.679465,23.873369
20240901.0,100900.0,新北市永和區永貞路443號前0.0公尺,晴,單路部分,直路,路段,一般車道(未劃分快慢車道),其他,其他不當駕車行為,121.506526,25.010072
20240901.0,100900.0,新北市永和區永貞路443號前0.0公尺,晴,單路部分,直路,路段,一般車道(未劃分快慢車道),其他,其他不當駕車行為,121.506526,25.010072
20240901.0,193918.0,苗栗縣三義鄉勝興村水美155之15號旁往東約30公尺水溝溝渠內,晴,單路部分,彎曲路及附近,路段,路肩、路緣,其他,其他不當駕車行為,120.75879,24.402868
20240901.0,193918.0,苗栗縣三義鄉勝興村水美155之15號旁往東約30公尺水溝溝渠內,晴,單路部分,彎曲路及附近,路段,路肩、路緣,其他,其他不當駕車行為,120.75879,24.402868
20240901.0,194800.0,桃園市龜山區文化二路口 / 桃園市龜山區文化二路口,晴,交岔路,三岔路,其他,行人穿越道,駕駛者,車輛未依規定暫停讓行人先行,121.365546,25.058729
20240901.0,194800.0,桃園市龜山區文化二路口 / 桃園市龜山區文化二路口,晴,交岔路,三岔路,其他,行人穿越道,駕駛者,車輛未依規定暫停讓行人先行,121.365546,25.058729
20240902.0,155200.0,高雄市前鎮區光華二路 / 高雄市前鎮區桂林街,晴,交岔路,四岔路,交叉路口,交叉路口內,駕駛者,未依規定減速,120.318291,22.617478
